medalist_name,Sport,Gender,Medal
Xu Yunli,volleyball,female,bronze
Xue Ming,volleyball,female,bronze
Yang Hao,volleyball,female,bronze
Zhang Na,volleyball,female,bronze
Zhao Ruirui,volleyball,female,bronze
Zhou Suhong,volleyball,female,bronze
Anderson Rodrigues,volleyball,male,silver
André Heller,volleyball,male,silver
André Nascimento,volleyball,male,silver
Bruno Rezende,volleyball,male,silver
Dante Amaral,volleyball,male,silver
Giba,volleyball,male,silver
Gustavo Endres,volleyball,male,silver
Marcelo Elgarten,volleyball,male,silver
Murilo Endres,volleyball,male,silver
Rodrigão,volleyball,male,silver
Samuel Fuchs,volleyball,male,silver
Sérgio Santos,volleyball,male,silver
Danielle Scott-Arruda,volleyball,female,silver
Heather Bown,volleyball,female,silver
Jennifer Joines,volleyball,female,silver
Kim Glass,volleyball,female,silver
Kim Willoughby,volleyball,female,silver
Lindsey Berg,volleyball,female,silver
Logan Tom,volleyball,female,silver
Nicole Davis,volleyball,female,silver
Ogonna Nnamani,volleyball,female,silver
Robyn Ah Mow-Santos,volleyball,female,silver
Stacy Sykora,volleyball,female,silver
Tayyiba Haneef-Park,volleyball,female,silver
Clayton Stanley,volleyball,male,gold
David Lee,volleyball,male,gold
Gabriel Gardner,volleyball,male,gold
Kevin Hansen,volleyball,male,gold
Lloy Ball,volleyball,male,gold
Reid Priddy,volleyball,male,gold
Richard Lambourne,volleyball,male,gold
Riley Salmon,volleyball,male,gold
Ryan Millar,volleyball,male,gold
Scott Touzinsky,volleyball,male,gold
Sean Rooney,volleyball,male,gold
Thomas Hoff,volleyball,male,gold
Carolina Albuquerque,volleyball,female,gold
Fabiana Claudino,volleyball,female,gold
Fabiana de Oliveira,volleyball,female,gold
Fofão,volleyball,female,gold
Jaqueline Carvalho,volleyball,female,gold
Marianne Steinbrecher,volleyball,female,gold
Paula Pequeno,volleyball,female,gold
Sheilla Castro,volleyball,female,gold
Thaísa Menezes,volleyball,female,gold
Valeska Menezes,volleyball,female,gold
Walewska Oliveira,volleyball,female,gold
Welissa Gonzaga,volleyball,female,gold
Aleksandar Ćirić,water polo,male,bronze
Aleksandar Šapić,water polo,male,bronze
Andrija Prlainović,water polo,male,bronze
Branko Peković,water polo,male,bronze
Dejan Savić,water polo,male,bronze
Denis Šefik,water polo,male,bronze
Duško Pijetlović,water polo,male,bronze
Filip Filipović,water polo,male,bronze
Nikola Rađen,water polo,male,bronze
Slobodan Soro,water polo,male,bronze
Vanja Udovičić,water polo,male,bronze
Vladimir Vujasinović,water polo,male,bronze
Živko Gocić,water polo,male,bronze
Alicia McCormack,water polo,female,bronze
Amy Hetzel,water polo,female,bronze
Bronwen Knox,water polo,female,bronze
Emma Knox,water polo,female,bronze
Gemma Beadsworth,water polo,female,bronze
Jenna Santoromito,water polo,female,bronze
Kate Gynther,water polo,female,bronze
Melissa Rippon,water polo,female,bronze
Mia Santoromito,water polo,female,bronze
Nikita Cuffe,water polo,female,bronze
Rebecca Rippon,water polo,female,bronze
Suzie Fraser,water polo,female,bronze
Taniele Gofers,water polo,female,bronze
Adam Wright,water polo,male,silver
Brandon Brooks,water polo,male,silver
J. W. Krumpholz,water polo,male,silver
Jeff Powers,water polo,male,silver
Jesse Smith,water polo,male,silver
Layne Beaubien,water polo,male,silver
Merrill Moses,water polo,male,silver
Peter Hudnut,water polo,male,silver
Peter Varellas,water polo,male,silver
Rick Merlo,water polo,male,silver
Ryan Bailey,water polo,male,silver
Tim Hutten,water polo,male,silver
Tony Azevedo,water polo,male,silver
Alison Gregorka,water polo,female,silver
Brenda Villa,water polo,female,silver
Brittany Hayes,water polo,female,silver
Elizabeth Armstrong,water polo,female,silver
Elsie Windes,water polo,female,silver
Heather Petri,water polo,female,silver
Jaime Komer,water polo,female,silver
Jessica Steffens,water polo,female,silver
Kami Craig,water polo,female,silver
Lauren Wenger,water polo,female,silver
Moriah van Norman,water polo,female,silver
Natalie Golda,water polo,female,silver
Patty Cardenas,water polo,female,silver
Dániel Varga,water polo,male,gold
Dénes Varga,water polo,male,gold
Gergely Kiss,water polo,male,gold
Gábor Kis,water polo,male,gold
István Gergely,water polo,male,gold
Norbert Hosnyánszky,water polo,male,gold
Norbert Madaras,water polo,male,gold
Péter Biros,water polo,male,gold
Tamás Kásás,water polo,male,gold
Tamás Molnár,water polo,male,gold
Tamás Varga,water polo,male,gold
Tibor Benedek,water polo,male,gold
Zoltán Szécsi,water polo,male,gold
Alette Sijbring,water polo,female,gold
Biurakn Hakhverdian,water polo,female,gold
Daniëlle de Bruijn,water polo,female,gold
Gillian van den Berg,water polo,female,gold
Iefke van Belkum,water polo,female,gold
Ilse van der Meijden,water polo,female,gold
Marieke van den Ham,water polo,female,gold
Meike de Nooy,water polo,female,gold
Mieke Cabout,water polo,female,gold
Noeki Klein,water polo,female,gold
Rianne Guichelaar,water polo,female,gold
Simone Koot,water polo,female,gold
Yasemin Smit,water polo,female,gold
Eko Irawan,weightlifting,male,bronze
Gevorg Davtyan,weightlifting,male,bronze
Jadier Valladares,weightlifting,male,bronze
Marcin Dołęga,weightlifting,male,bronze
Triyatno,weightlifting,male,bronze
Viktors Ščerbatihs,weightlifting,male,bronze
Yoandry Hernández,weightlifting,male,bronze
Yordanis Borrero,weightlifting,male,bronze
Abeer Abdelrahman,weightlifting,female,bronze
Christine Girard,weightlifting,female,bronze
Damaris Gabriela Aguirre Aldaz,weightlifting,female,bronze
Mariam Usman,weightlifting,female,bronze
Pensiri Laosirikul,weightlifting,female,bronze
Raema Lisa Rumbewas,weightlifting,female,bronze
Wandee Kameaim,weightlifting,female,bronze
Arsen Kasabiev,weightlifting,male,silver
Diego Salazar,weightlifting,male,silver
Dmitry Klokov,weightlifting,male,silver
Evgeny Chigishev,weightlifting,male,silver
Hoang Anh Tuan,weightlifting,male,silver
Li Hongli,weightlifting,male,silver
Tigran Vardan Martirosyan,weightlifting,male,silver
Vencelas Dabaya,weightlifting,male,silver
Ele Opeloge,weightlifting,female,silver
Im Jyoung-Hwa,weightlifting,female,silver
Leydi Solís,weightlifting,female,silver
Lu Ying-chi,weightlifting,female,silver
Lydia Valentín,weightlifting,female,silver
O Jong-ae,weightlifting,female,silver
Yoon Jin-Hee,weightlifting,female,silver
Andrei Aramnau,weightlifting,male,gold
Liao Hui,weightlifting,male,gold
Long Qingquan,weightlifting,male,gold
Lu Yong,weightlifting,male,gold
Matthias Steiner,weightlifting,male,gold
Sa Jae-Hyouk,weightlifting,male,gold
Szymon Kołecki,weightlifting,male,gold
Zhang Xiangxiang,weightlifting,male,gold
Alla Vazhenina,weightlifting,female,gold
Chen Wei-ling,weightlifting,female,gold
Chen Yanqing,weightlifting,female,gold
Jang Mi-ran,weightlifting,female,gold
Oksana Slivenko,weightlifting,female,gold
Pak Hyon-suk,weightlifting,female,gold
Prapawadee Jaroenrattanatarakoon,weightlifting,female,gold
